id;category/id;category/name/fr;scope/id;scope/name/fr;participatory_space/id;participatory_space/url;component/id;title;body;state;reference;answer/fr;supports;endorsements/total_count;endorsements/user_endorsements;comments;attachments;followers;published_at;url;meeting_urls;related_proposals;is_amend;original_proposal/title;original_proposal/url
6;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Revalorisation des salaires des travailleurs saisonniers ;Revaloriser les salaires des travailleurs saisonniers;"";ja-PROP-2020-04-6;"";0;4;Hernandez , David, Élodie, Lavigne;1;0;74;2020-04-03 06:09:58 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/6;"";"";false;;
76;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Modèle de distribution et télétravail ;"Remettre en place des  professions comme pompiste , la marchande de fruits et légumes qui nous servaient . Autant de manipulations de bien faites par de multiples petites mains en moins que dans le monde d aujourd’hui et donc moins de risques sanitaires ,  plus de lien et aussi  plus d emplois . Remettre le Service au cœur de la communauté.
Télétravail : avantage pour l entreprise moins de location ou de bien immobilier à entretenir , moins de pollution car pas de trajet domicile - travail .";"";ja-PROP-2020-04-76;"";0;18;Pouit, Bruno Lecerf, Lavigne, Pallas, Boitel, cédé, Laurent, AideSoignant, Bourreau, Leila, Mireille, participer, noname, Pierre Loiseau, Mac, Pia, AWag, Brigitte;5;0;79;2020-04-04 08:41:57 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/76;"";"";false;;
451;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Reconnaissance et participation de tous les Salariés au bon fonctionnement de l'Entreprise;"Reconnaissance et respect du Salarié  au sein de son Entreprise.
Revalorisation de tous les salaires et rattrapage important des bas salaires.
Installation de Comité de salariesde prise de paroles et de propositions d'améliorations des conditions de travail au sein de l'entreprise avec l'employeur et syndicats ensemble sans aucune pression ou sanction par la suite.
C'est le mieux vivre ensemble!";"";ja-PROP-2020-04-451;"";0;5;Kandel, jay, BoTidO, Cest, L'hostis;2;0;73;2020-04-04 18:53:52 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/451;"";"";false;;
1167;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Formations aux nouvelles technologies renforcées;Utilisation ou concepteurs, un manque de formation dans les nouvelles technologies apparaît en intelligence artificielle, robotique... Renforcer ces formations, proposer de nouveaux formats plus adaptés aux besoins contemporain : drones, impression 3d, robot convoyeurs, IA de prédiction médicale... Permettrait à chacun de renforcer ses connaissances et créer, adapter de nouveaux outils utiles aux problématiques du futur.;"";ja-PROP-2020-04-1167;"";0;2;Matt, Depaire;1;0;73;2020-04-05 01:09:30 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/1167;"";"";false;;
1709;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Répartition des charges salariales;"Une trop grande inégalité salariale existe et laisse sur le bord de la route des travailleurs aux profils différents.
Un  travailleur est rentable de 30 ans à 55 ans, donc normal qu'il porte le plus fort taux de charges. 
Pour les plus jeunes et les plus âgés ce taux doit être diminué, pour que le salarié garde un net avantageux et que le patron soit incité à l'embaucher ou le garder. 
Idem un travailleur handicapé doit coûter beaucoup cher au niveau des charges  qu'un salarié valide.";"";ja-PROP-2020-04-1709;"";0;0;"";0;0;74;2020-04-05 13:02:39 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/1709;"";"";false;;
2275;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Embaucher sur les compétences plutôt que sur les diplômes ;"Bonjour,

Des méthodes éprouvées existent aujourd'hui pour évaluer les compétences objectives d'un.e postulant.e.

Pourquoi ne sont-elles jamais appliquées ? 

Ma suggestion :  que les critères d'embauche soit axés sur les compétences plutôt que sur les diplômes.";"";ja-PROP-2020-04-2275;"";0;2;Isadora, Lise-Marie Muriel;0;0;73;2020-04-05 18:08:00 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/2275;"";"";false;;
1427;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Revaloriser la recherche;"Il faut donner plus de moyens aux structures de recherche et aux chercheurs qui font évoluer notre pays.
Il est intolérable qu'aujourd'hui les chercheurs soit si peu payé et qu'ils doivent consacrer 50% de leur temps à la recherches de fonds. Ceci ne fait pas avancer la pays et pousse à la fuite des cerveaux!";"";ja-PROP-2020-04-1427;"";0;14;Wati, Jean DELEFORGE, B, Jean-Luc Martin, Matt, Balluteau, zhusson, Dumant Emilie , Francis, B., Des Illusions, Facchin, Serge, Gildas, Théo Hennequin;3;0;75;2020-04-05 11:08:08 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/1427;"";"";false;;
337;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Valoriser l'emploi sur le territoire ou en Europe ;"Objectifs: 
1- créer des emplois
2- raccourcir les circuits de distribution 

Taxer les entreprises sur la base du ratio chiffre d'affaire en france / nombre d'emploi sur le territoire français.
Pour les sociétés qui ne font que distribuer des produits d'importation la taxe pourrait se calculer sur le CA/emploi/distance d'importation des produits

On peut aussi la baser sur le bénéfice au lieu du CA et le nombre d'emploi en Europe...";"";ja-PROP-2020-04-337;"";0;4;isabelle hameau, Balluteau, Matt, Boineau;0;0;73;2020-04-05 11:49:36 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/337;"";"";false;;
2271;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Productivité, ressources naturelles, temps de travail;La productivité ne cesse de croître, les ressources naturelles sont finies, nous nous partageons de plus en plus voracement un gâteau qui croît moins vite que notre appétit. Pourquoi travailler pour consommer plus que ce que la nature peut nous offrir ? Donc réguler la production par le temps de travail pour ne consommer que le nécessaire. Production constante, à salaire constant. Cesser d'exacerber la concurrence de tous contre tous, et une fois nos besoins satisfaits, cesser de produire, s'occuper du bien commun avec le temps qui nous reste.;"";ja-PROP-2020-04-2271;"";0;1;Savvy Catachrone;0;0;73;2020-04-05 18:08:19 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/2271;"";"";false;;
409;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Travail = valeur = STOP speculation !;"Le travail créée de la valeur. La personne qui produit un bien ou un service dans le monde REEL devrait gagner de quoi vivre dignement.

La spéculation créée de la valeur fictive qui se traduit par des destructions dans le monde réel. Une grosse somme qui fait le tour des places boursières en 24h ne devrait RIEN rapporter. Question de morale, d'éthique, de justice...

Il faut taxer à 95% toute spéculation qui rapporterait plus de 3%.
(valeurs indicatives)";"";ja-PROP-2020-04-409;"";0;16;Sardine, Flo35, bert, Olivier , ROGGERI, Michelle, Carole Chabut , claude07, Dargaud, Mouna, Yann, Matt, Cédric, Johanna, VIRET FREDERIC, Isabelle PALAU;1;0;74;2020-04-04 16:08:54 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/409;"";"";false;;
1161;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Retraites : en finir avec les régressions sociales;"Pour que le mouvement ""le jour d'après"" soit pris au sérieux, il faut donner des gages. À commencer par réclamer que le projet de réforme des retraites soit abandonné. Il me semble que c'est un minimum. 
Pour aller plus loin, il faut revenir à la retraite à 60 ans avec 37,5 années de cotisations.";"";ja-PROP-2020-04-1161;"";0;4;Jean-Luc Martin, Boulmier, Poullain, ARNAUD;0;0;75;2020-04-05 01:03:36 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/1161;"";"";false;;
942;;"";;"";1;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres?participatory_process_slug=lejourdapres;2;Salaire universel;"Mettre en place un Salaire universel :
Avec ce que l'on créée pour le COVID, on en a jamais été aussi proche.

Quelle contrepartie à ce salaire Universel ?
Distinguons travail et activité. 
 Jeremy RIFKIN et Albert JAcquard distinguent bien le travail de l'activité.
Un Homme quel qu'il soit trouvera toujours à s'occuper utilement.
https://www.youtube.com/watch?v=iT9aC6a_e1Y 

S’occuper des enfants, des anciens, des personnes en difficultés ….. sont des activités utiles.
Elles créent de la valeur pour la société, du lien, de l’humanité …

Abolition du temps de travail ? why not
La question du temps de travail est dépassée.
Si il y a salaire universelle, il n'est plus nécessaire de parler de temps de travail.
Chacun sait ce qu'il a à faire là ou il est.
Est ce utopique ?
Oui et non.
En cette période de confinement, chacun ressent bien quelle place prend l'activité utilise pour lui même, sa santé mentale, sa place dans la société ....
Quel montant ? ça dépendra du cout de la vie de demain …
Comment financer ? 
Par la fusion d'un certain nombre de filet déjà existant, que doit on fusionner, que doit on laisser proportionnel au besoin/cotisation  :  APL, RSA, chomage, retraite ........
Et dans ce cas, combien représente cette assiette de cotisation ?
Complétons par une taxe GAFAM. A combien arrive t on ?
A l'heure ou l'argent tombe du ciel, il faut vraiment savoir ce que l'on en fait et pour quel monde demain ....";"";ja-PROP-2020-04-942;"";0;22;Sylvie, Agalev, ThomasGarri, Pierre, Camille , jay, Pascal R., Sylvie, FLOQUET, Geraldine GM, Jean-Luc Martin, Johanna, Chloe, Quentin, Vidjy, renac, Élodie , PENNEC, Gohe, 2020, Speedy Gonzales, Théo Hennequin;6;0;76;2020-04-04 21:45:21 +0200;http://lejourdapres.parlement-ouvert.fr/processes/lejourdapres/f/2/proposals/942;"";"";false;;
